,Genre,Gross,actors,directors,producers,rel_date,title,writers
2325,Crime Drama,1059900,Woody Harrelson/Robin Wright/Sigourney Weaver/Ben Foster/Ice Cube,Oren Moverman,,2012-02-10,Rampart,Oren Moverman
2326,Comedy / Drama,355900,Josh Radnor/Elizabeth Olsen/Zac Efron,Josh Radnor,,2012-09-14,Liberal Arts,Josh Radnor
2327,Comedy,65059300,Chris Farley/David Spade,Peter Segal,Lorne Michaels/Robert K. Weiss,1995-03-31,Tommy Boy,
2328,Comedy,66361900,Michael Douglas/Robert DeNiro/Morgan Freeman/Kevin Kline,Jon Turteltaub,Amy Baer/Laurence Mark,2013-11-01,Last Vegas,Dan Fogelman
2329,Drama,5899800,Jeffrey Wright/Benicio Del Toro,Julian Schnabel,Jon Kilik,1996-08-09,Basquiat,
2330,Drama,20926200,Kyle Gallner/Jeremy Irons/Viola Davis/Emmy Rossum/Thomas Mann/Emma Thompson,Richard LaGravenese,Broderick Johnson/Andrew A. Kosove/Molly Smith/Erwin Stoff/David Valdes,2013-02-14,Beautiful Creatures,Richard LaGravenese
2331,Comedy,54778600,John Cusack/Clark Duke,Steve Pink,,2010-03-26,Hot Tub Time Machine,Sean Anders/Josh Heald
2332,Action Thriller,43801800,Jason Statham/Tyrese Gibson/Joan Allen,Paul W.S. Anderson,Ryan Kavanaugh/Paula Wagner/Paul W.S. Anderson/Jeremy Bolt,2008-08-22,Death Race,J.F. Lawton/Paul W.S. Anderson
2333,Sports Drama,47118000,Dennis Quaid/AnnaSophia Robb/Jeremy Sumpter/Helen Hunt/Carrie Underwood,Sean McNamara,Sean McNamara/David Zelon,2011-04-08,Soul Surfer,Sean McNamara
2334,Crime Drama,7872500,Michael Ealy,Ernest R. Dickerson,,2004-03-26,Never Die Alone,
2335,Animation,259857500,,Brad Bird,Brad Lewis/John Lasseter/Andrew Stanton,2007-06-29,Ratatouille,Brad Bird/Bob Peterson
2336,Comedy,22810900,Kim Basinger/Tim Robbins/Julia Roberts/Forest Whitaker,Robert Altman,,1994-12-25,Ready to Wear,
2337,Action,113004600,Samuel L. Jackson/Jeffrey Wright/Christian Bale/Toni Collette/Elizabeth Banks,John Singleton,Paul Hall/Mark Roybal/Scott Rudin,2000-06-16,Shaft,Richard Price/Shane Salerno/John Singleton
2338,Musical,39280500,Rosario Dawson,Chris Columbus,Chris Columbus,2005-11-23,Rent,Stephen Chbosky
2339,Fantasy Comedy,15080300,,Woody Allen,,1990-12-25,Alice,Woody Allen
2340,Drama,79500,Ryan Reynolds/Melissa McCarthy,John August,,2007-08-31,The Nines,John August
2341,Action Horror,145763200,Nicolas Cage/Eva Mendes/Sam Elliott,Mark Steven Johnson,Avi Arad/Michael De Luca/David S. Goyer/Stan Lee/Steven Paul,2007-02-16,Ghost Rider,Mark Steven Johnson
2342,Thriller,2799800,Dustin Hoffman/Alan Rickman,Tom Tykwer,Bernd Eichinger,2006-12-27,Perfume - The Story of a Murderer,
2343,Family Comedy,245111900,Christina Applegate/Anna Faris/Zachary Levi/Justin Long,Betty Thomas,Arnon Milchan/Karen Rosenfelt,2009-12-23,Alvin and the Chipmunks: The Squeakquel,Jonathan Aibel/Glenn Berger
2344,Thriller,16200,Seu Jorge/Brian Cox/Dominic Cooper,Rupert Wyatt,,2009-04-03,The Escapist,Rupert Wyatt
2345,Action / Adventure,28968700,Robert DeNiro/Jessica Alba/Michelle Rodriguez/Lindsay Lohan,Robert Rodriguez,Robert Rodriguez,2010-09-03,Machete,Robert Rodriguez
2346,Crime,108797300,Robert DeNiro/Edward Norton/Marlon Brando/Angela Bassett,Frank Oz,,2001-07-13,The Score,Lem Dobbs/Kario Salem/Scott Marshall Smith
2347,Family,54843400,Frankie Muniz/Diane Lane/Luke Wilson/Kevin Bacon,Jay Russell,Broderick Johnson/Mark Johnson/Andrew A. Kosove,2000-01-14,My Dog Skip,
2348,Action Comedy,58802500,Bruce Willis/John Malkovich/Helen Mirren/Anthony Hopkins/Catherine Zeta-Jones,Dean Parisot,Lorenzo di Bonaventura/Mark Vahradian,2013-07-19,Red 2,Erich Hoeber/Jon Hoeber
2349,Romantic Comedy,10859800,Christina Ricci/Martin Donovan/Lisa Kudrow,Don Roos,,1998-05-22,The Opposite of Sex,Don Roos
2350,War Drama,46780900,Adrien Brody,Roman Polanski,Roman Polanski,2002-12-25,The Pianist,
2351,Comedy,4206500,Gena Rowlands/Winona Ryder/Roberto Benigni,Jim Jarmusch,Jim Jarmusch,1992-05-01,Night on Earth,Jim Jarmusch
2352,Drama,179800,Mia Wasikowska,Gus Van Sant,Ron Howard/Gus Van Sant,2011-09-16,Restless,
2353,Comedy,132348900,Kevin Kline/Sigourney Weaver/Frank Langella/Ben Kingsley,Ivan Reitman,Lauren Schuler Donner/Joe Medjuck/Ivan Reitman,1993-05-07,Dave,Gary Ross
2354,Foreign,6071700,Oscar Isaac,Dean Wright,,2012-06-01,For Greater Glory,
2355,Romantic Comedy,1053500,Marisa Tomei,Brad Anderson,John Sloss,2001-08-24,Happy Accidents,Brad Anderson
2356,Fantasy,75467600,Logan Lerman/Brandon T. Jackson/Stanley Tucci/Sean Bean,Thor Freudenthal,Chris Columbus/Karen Rosenfelt,2013-08-07,Percy Jackson: Sea of Monsters,Marc Guggenheim
2357,Thriller,3096800,"Kenneth Branagh/Robert Downey, Jr./Famke Janssen/Robert Duvall",Robert Altman,,1998-01-23,The Gingerbread Man,
2358,Drama,36687000,Robert Duvall,Robert Duvall,Robert Duvall,1997-12-19,The Apostle,
2359,Drama,16400,Kevin Bacon/Robert Duvall/Ray Stevenson/Billy Bob Thornton,Billy Bob Thornton,,2013-09-13,Jayne Mansfield's Car,Billy Bob Thornton
2360,Comedy / Drama,19471100,James Gandolfini,Martha Coolidge,Roger Birnbaum/Joe Roth,1994-03-04,Angie,Todd Graff
2361,Comedy,182015800,Kristen Wiig/Rose Byrne/Melissa McCarthy/Jon Hamm,Paul Feig,Judd Apatow/Barry Mendel/Clayton Townsend,2011-05-13,Bridesmaids,Kristen Wiig
2362,Comedy / Drama,223900,Channing Tatum/Chris Pratt/Jenna Dewan-Tatum/Rosario Dawson/Justin Long/Aubrey Plaza/Anthony Mackie/Oscar Isaac/Ron Livingston,Jamie Linden,Marty Bowen,2012-09-14,10 Years,Jamie Linden
2363,Adventure,98865300,Jake Gyllenhaal/Ben Kingsley/Alfred Molina/Gemma Arterton,Mike Newell,Jerry Bruckheimer,2010-05-28,Prince of Persia: The Sands of Time,Carlo Bernard/Doug Miro/Boaz Yakin
2364,Action Thriller,77848200,George Clooney/Nicole Kidman,Mimi Leder,Michael Grillo,1997-09-26,The Peacemaker,
2365,Action Comedy,44954700,Anthony Hopkins/Chris Rock,Joel Schumacher,Jerry Bruckheimer/Clayton Townsend,2002-06-07,Bad Company,
2366,Period Drama,41847700,Jim Carrey,Frank Darabont,Frank Darabont,2001-12-21,The Majestic,
2367,Family Adventure,278929100,Johnny Depp/Freddie Highmore/Helena Bonham Carter,Tim Burton,Brad Grey,2005-07-15,Charlie and the Chocolate Factory,John August
2368,Action Thriller,324600,Nicolas Cage/Josh Lucas,Simon West,,2012-09-14,Stolen,David Guggenheim
2369,Action Comedy,60716500,Jeremy Renner/Gemma Arterton/Famke Janssen/Thomas Mann,Tommy Wirkola,Will Ferrell/Beau Flynn/Chris Henchy/Adam McKay/Denis L. Stewart,2013-01-25,Hansel and Gretel: Witch Hunters,Dante Harper/Tommy Wirkola
2370,Drama,42138000,Matt Damon/Morgan Freeman,Clint Eastwood,Gary Barber/Roger Birnbaum/Robert Lorenz/Tim Moore,2009-12-11,Invictus,
2371,Thriller,1430300,Tom Hardy/Tom Holland,Steven Knight,,2014-04-25,Locke,Steven Knight
2372,Horror Thriller,1561800,Naomi Watts,Michael Haneke,,2008-03-14,Funny Games,Michael Haneke
2373,Comedy,95758000,Johnny Knoxville,Jeff Tremaine,Spike Jonze/Jeff Tremaine,2002-10-25,Jackass: The Movie,
2374,War Drama,103221500,George Clooney/Mark Wahlberg/Ice Cube,David O. Russell,Charles Roven,1999-10-01,Three Kings,John Ridley/David O. Russell
2375,Horror,31626900,Hilary Swank/Idris Elba/AnnaSophia Robb,Stephen Hopkins,Susan Downey/Joel Silver,2007-04-05,The Reaping,Carey Hayes/Chad Hayes
2376,Unknown,365800,Casey Affleck/Matt Damon,Gus Van Sant,,2003-02-14,Gerry,Casey Affleck/Matt Damon/Gus Van Sant
2377,Romantic Thriller,45198000,Kevin Costner/Kathy Bates,Tom Shadyac,Gary Barber/Roger Birnbaum/Michael Bostick/Mark Johnson/Tom Shadyac,2002-02-22,Dragonfly,David Seltzer
2378,Action,230250000,Tom Cruise/Jeremy Renner/Simon Pegg/Paula Patton/Michael Nyqvist,Brad Bird,Jeffrey Chernov/David Ellison/Dana Goldberg/Paul Schwake/J.J. Abrams/Bryan Burk/Tom Cruise,2011-12-16,Mission: Impossible - Ghost Protocol,Josh Appelbaum/Andre Nemec
2379,Period Adventure,264889400,Brendan Fraser/Rachel Weisz,Stephen Sommers,,1999-05-07,The Mummy,Stephen Sommers
2380,Comedy / Drama,28149600,Meryl Streep/Kevin Kline/Sebastian Stan,Jonathan Demme,Mason Novick/Marc Platt,2015-08-07,Ricki and the Flash,Diablo Cody
2381,Crime,19299500,Matthew McConaughey/Ethan Hawke,Richard Linklater,John Sloss,1998-03-27,The Newton Boys,
2382,Romantic Comedy,20168500,Kevin Bacon/Sharon Stone,Ken Kwapis,,1991-02-22,"He Said, She Said",
2383,Fantasy,68790900,Nicolas Cage/Jay Baruchel/Alfred Molina/Teresa Palmer/Monica Bellucci,Jon Turteltaub,Jerry Bruckheimer/Nicolas Cage/Todd Garner,2010-07-14,The Sorcerer's Apprentice,Carlo Bernard/Doug Miro
2384,Western,6126100,Kate Bosworth/Geoffrey Rush,Sngmoo Lee,,2010-12-03,The Warrior's Way,Sngmoo Lee
2385,Crime Thriller,18804900,Willem Dafoe/Mickey Rourke,Roger Donaldson,Gary Barber/James G. Robinson*/Scott Rudin,1992-04-24,White Sands,
2386,Comedy,282707700,Owen Wilson/Vince Vaughn/Rachel McAdams/Christopher Walken/Isla Fisher/Bradley Cooper,David Dobkin,Andrew Panay,2005-07-15,Wedding Crashers,
2387,Drama / Thriller,636800,Dean Norris/Christopher Plummer,Atom Egoyan,,2016-03-11,Remember,
2388,Action / Crime,48072300,Chris Tucker,Albert Hughes/Allen Hughes,Albert Hughes/Allen Hughes,1995-10-06,Dead Presidents,Albert Hughes/Allen Hughes
2389,Comedy,1430400,Parker Posey,Noah Baumbach,,1995-10-06,Kicking and Screaming,Noah Baumbach
2390,Drama / Thriller,3200,Emily Browning/Cam Gigandet,Catherine Hardwicke,,2013-09-13,Plush,Catherine Hardwicke
2391,Romantic Comedy,124768600,Meryl Streep/Steve Martin/Alec Baldwin/Lake Bell/John Krasinski/Zoe Kazan,Nancy Meyers,Nancy Meyers/Scott Rudin,2009-12-25,It's Complicated,Nancy Meyers
2392,Thriller,74909100,John Cusack/Alfred Molina/Amanda Peet,James Mangold,Cathy Konrad,2003-04-25,Identity,
2393,Drama,17881900,Amy Adams/Philip Seymour Hoffman/Joaquin Phoenix/Jesse Plemons,Paul Thomas Anderson,Paul Thomas Anderson/Megan Ellison/Daniel Lupi/JoAnne Sellar,2012-09-14,The Master,Paul Thomas Anderson
2394,Action Horror,64185300,Matthew McConaughey/Christian Bale/Gerard Butler,Rob Bowman,Gary Barber/Roger Birnbaum/Jonathan Glickman,2002-07-12,Reign of Fire,Matt Greenberg
2395,Sports Drama,47150600,Maria Bello/Kevin Costner,Niki Caro,,2015-02-20,"McFarland, USA",
2396,Thriller,38184100,Dave Franco/Emma Roberts,Henry Joost/Ariel Schulman,,2016-07-27,Nerve,
2397,Drama,270000,Michael Caine/Josh Lucas/Christopher Walken,Jordan Roberts,Bob Yari,2004-10-08,Around the Bend,Jordan Roberts
2398,Horror Comedy,109105300,Shawn Wayans/Marlon Wayans/Anna Faris/Regina Hall,Keenen Ivory Wayans,Lee R. Mayes,2001-07-04,Scary Movie 2,Jason Friedberg*/Aaron Seltzer*
2399,Thriller,266372200,Mel Gibson/Rene Russo/Liev Schreiber,Ron Howard,Brian Grazer/Scott Rudin,1996-11-08,Ransom,Richard Price
2400,Action Comedy,60375300,Eddie Murphy,Thomas Carter,Roger Birnbaum,1997-01-17,Metro,
2401,Fantasy,320326400,Daniel Radcliffe/Rupert Grint/Emma Watson/Helena Bonham Carter/Ralph Fiennes,David Yates,,2010-11-19,Harry Potter and the Deathly Hallows Part 1,Steve Kloves
2402,Romantic Comedy,22548400,Robert DeNiro/Susan Sarandon/Diane Keaton/Katherine Heigl/Amanda Seyfried/Robin Williams/Ben Barnes/Topher Grace,Justin Zackham,Justin Zackham,2013-04-26,The Big Wedding,Justin Zackham
2403,Action,127218600,Dwayne Johnson/Channing Tatum/Bruce Willis/Adrianne Palicki/Ray Stevenson/Jonathan Pryce,Jon Chu,Gary Barber/Roger Birnbaum/Lorenzo di Bonaventura/David Ellison/Paul Schwake/Stephen Sommers,2013-03-28,G.I. Joe: Retaliation,Rhett Reese/Paul Wernick
2404,Animation,228160600,John Leguizamo/Queen Latifah/Simon Pegg,Carlos Saldanha,John C. Donkin,2009-07-01,Ice Age: Dawn of the Dinosaurs,Yoni Brenner
2405,Comedy,53596800,Ice Cube/Cedric the Entertainer/Regina Hall/Common/Nicki Minaj,Malcolm D. Lee,,2016-04-15,Barbershop: The Next Cut,
2406,Crime Thriller,32133200,Denzel Washington/Don Cheadle,Carl Franklin,Gary Goetzman,1995-09-29,Devil in a Blue Dress,Carl Franklin
2407,Drama,100913000,Denzel Washington/Don Cheadle/Melissa Leo,Robert Zemeckis,,2012-11-02,Flight,John Gatins
2408,Comedy,44753700,Tyler Perry/Kathy Bates/Taraji P. Henson,Tyler Perry,Tyler Perry,2008-09-12,Tyler Perry's The Family That Preys,Tyler Perry
2409,Comedy,58264900,Denise Richards/Neil Patrick Harris,Malcolm D. Lee,Brian Grazer/John Ridley,2002-05-31,Undercover Brother,John Ridley
2410,Comedy Thriller,35971000,Ryan Gosling/Russell Crowe/Kim Basinger,Shane Black,,2016-05-20,The Nice Guys,
2411,Comedy,169875500,Kevin James,Steve Carr,Todd Garner/Jack Giarraputo/Adam Sandler,2009-01-16,Paul Blart: Mall Cop,Nick Bakay/Kevin James
2412,Action,211338100,Pierce Brosnan/Sean Bean/Famke Janssen/Judi Dench,Martin Campbell,Barbara Broccoli/Michael G. Wilson,1995-11-17,GoldenEye,Jeffrey Caine/Michael France*
2413,Drama / Thriller,25549900,Michael K. Williams/Morgan Freeman/Casey Affleck/Michelle Monaghan/Ed Harris/Amy Ryan,Ben Affleck,Ben Affleck/Sean Bailey,2007-10-19,Gone Baby Gone,Ben Affleck
2414,Sci-Fi Thriller,68357300,Dustin Hoffman/Sharon Stone/Samuel L. Jackson/Liev Schreiber/Queen Latifah,Barry Levinson,Barry Levinson,1998-02-13,Sphere,Kurt Wimmer
2415,Romantic Comedy,30421400,Ali Larter,John Schultz,,1999-10-01,Drive Me Crazy,
2416,Sports Drama,98195100,Chadwick Boseman/Harrison Ford/Lucas Black,Brian Helgeland,Jason Clark/Jon Jashni/Thomas Tull,2013-04-12,42,Brian Helgeland
2417,Action,8305500,"Michelle Rodriguez/Amber Heard/Charlie Sheen/Antonio Banderas/Jessica Alba/Alexa Vega/Vanessa Hudgens/Cuba Gooding, Jr./Mel Gibson",Robert Rodriguez,Robert Rodriguez,2013-10-11,Machete Kills,Kyle Ward
2418,Fantasy,347991300,Daniel Radcliffe/Emma Watson/Rupert Grint/Gary Oldman,Alfonso Cuaron,Chris Columbus/David Heyman,2004-06-04,Harry Potter and the Prisoner of Azkaban,Steve Kloves
2419,Crime Comedy,147465100,George Clooney/Brad Pitt/Matt Damon/Don Cheadle/Bernie Mac/Casey Affleck/Al Pacino,Steven Soderbergh,Gregory Jacobs,2007-06-08,Ocean's Thirteen,Brian Koppelman/David Levien
2420,Crime Comedy,46403900,Benicio Del Toro/Brad Pitt/Jason Statham/Ewen Bremner,Guy Ritchie,Steve Tisch/Matthew Vaughn,2000-12-08,Snatch,
2421,Thriller,48658100,Clive Owen/Jennifer Aniston,Mikael Hafstrom,Lorenzo di Bonaventura,2005-11-11,Derailed,Stuart Beattie
2422,Animation,135661800,Johnny Depp/Isla Fisher/Abigail Breslin,Gore Verbinski,Tim Headington/Graham King/Gore Verbinski,2011-03-04,Rango,John Logan/Gore Verbinski
2423,Drama,2081600,Jennifer Aniston/Anna Kendrick/Sam Worthington/Chris Messina/William H. Macy,Daniel Barnz,Jennifer Aniston/Mark Canton,2015-01-23,Cake,
2424,Comedy,32780400,Aaron Eckhart/Maria Bello/Adam Brody/Sam Elliott/Katie Holmes/Rob Lowe/William H. Macy/Robert Duvall,Jason Reitman,David Bloomfield,2006-03-17,Thank You for Smoking,Jason Reitman
2425,Crime,3161300,Ben Whishaw/Daniel Craig/Tom Hardy/Sally Hawkins,Matthew Vaughn,Matthew Vaughn,2005-05-13,Layer Cake,
2426,Action Drama,63922100,Sylvester Stallone/Viggo Mortensen,Rob Cohen,John Davis,1996-12-06,Daylight,
2427,Fantasy Comedy,29788200,Uma Thurman/Luke Wilson/Anna Faris,Ivan Reitman,Arnon Milchan/Gavin Polone,2006-07-21,My Super Ex-Girlfriend,Don Payne
2428,Comedy,23794600,Danny McBride/James Franco/Natalie Portman/Zooey Deschanel,David Gordon Green,Danny McBride/Scott Stuber,2011-04-08,Your Highness,Ben Best/Danny McBride
2429,Comedy,10538400,Sarah Jessica Parker/Pierce Brosnan/Greg Kinnear/Kelsey Grammer,Douglas McGrath,,2011-09-16,I Don't Know How She Does It,Aline Brosh McKenna
2430,Comedy,27997500,Kristen Bell/Sigourney Weaver/Jamie Lee Curtis,Andy Fickman,Andy Fickman,2010-09-24,You Again,
2431,Action Drama,20643200,Matthew McConaughey,Gary Ross,,2016-06-24,Free State of Jones,Gary Ross
2432,Musical,177000,Alexa Vega,Darren Lynn Bousman,Darren Lynn Bousman,2008-11-07,Repo: The Genetic Opera,
2433,Drama / Thriller,98546000,Tommy Lee Jones/Samuel L. Jackson/Guy Pearce/Ben Kingsley,William Friedkin,Scott Rudin,2000-04-07,Rules of Engagement,Stephen Gaghan
2434,Romantic Comedy,44906400,,Chris Columbus,John Hughes/Hunt Lowry,1991-05-24,Only the Lonely,
2435,Fantasy,248437400,Dustin Hoffman/Julia Roberts/Robin Williams,Steven Spielberg,Kathleen Kennedy/Frank Marshall/Gerald R. Molen,1991-12-11,Hook,
2436,Drama,125000,Pierce Brosnan/Susan Sarandon/Carey Mulligan/Aaron Johnson,Shana Feste,,2010-04-02,The Greatest,Shana Feste
2437,Action Comedy,29374200,Michael Douglas/Albert Brooks/Ryan Reynolds,Andrew Fleming,Bill Gerber,2003-05-23,The In-Laws,Ed Solomon
2438,Action Thriller,40800,Jason Statham,Steven Knight,,2013-06-28,Redemption,Steven Knight
2439,Comedy / Drama,38189300,Seth Rogen/Joseph Gordon-Levitt/Anna Kendrick/Bryce Dallas Howard,Jonathan Levine,Evan Goldberg/Will Reiser/Seth Rogen,2011-09-30,50/50,Will Reiser
2440,Action Comedy,133295600,"Ben Stiller/Jack Black/Robert Downey, Jr./Steve Coogan/Jay Baruchel/Danny McBride/Brandon T. Jackson",Ben Stiller,Ben Stiller,2008-08-13,Tropic Thunder,Ben Stiller/Etan Cohen
2441,Family Comedy,24588200,Emma Roberts,Elizabeth Allen (II),Susan Cartsonis,2006-03-03,Aquamarine,Jessica Bendinger/John Quaintance
2442,Action,203073900,Mathieu Amalric/Daniel Craig/Olga Kurylenko/Judi Dench/Gemma Arterton/Jeffrey Wright,Marc Forster,Barbara Broccoli/Michael G. Wilson,2008-11-14,Quantum of Solace,Neal Purvis/Robert Wade
2443,Animation,62231500,Kodi Smit-McPhee/Anna Kendrick/Casey Affleck/Christopher Mintz-Plasse/Leslie Mann,Sam Fell,Travis Knight,2012-08-17,ParaNorman,
2444,Action,169335000,Bruce Willis/Timothy Olyphant/Justin Long/Mary Elizabeth Winstead/Kevin Smith,Len Wiseman,,2007-06-27,Live Free or Die Hard,Mark Bomback
2445,Thriller,8538400,Chris Hemsworth/Viola Davis,Michael Mann,Jon Jashni/Michael Mann/Thomas Tull,2015-01-16,Blackhat,Morgan Davis Foehl/Michael Mann
2446,Drama,14405200,Tye Sheridan/Brad Pitt/Sean Penn/Jessica Chastain,Terrence Malick,Dede Gardner/Brad Pitt,2011-05-27,The Tree of Life,Terrence Malick
2447,Drama,431500,Michelle Monaghan/Ron Livingston,Josh Sternfeld,,2005-04-08,Winter Solstice,Josh Sternfeld
2448,Thriller,23234000,Daniel Craig/Rachel Weisz/Naomi Watts,Jim Sheridan,Mike Drake/Ehren Kruger/James G. Robinson,2011-09-30,Dream House,David Loucka
2449,Action Drama,108649900,Denzel Washington/Dakota Fanning/Radha Mitchell/Christopher Walken,Tony Scott,Arnon Milchan/Tony Scott,2004-04-21,Man on Fire,Brian Helgeland
2450,Crime Thriller,29747400,Samuel L. Jackson/Nicolas Cage/Helen Hunt/Stanley Tucci,Barbet Schroeder,,1995-04-21,Kiss of Death,Richard Price
2451,Fantasy,269143300,Ian McKellen/Martin Freeman/Orlando Bloom/Evangeline Lilly/Hugo Weaving/Christopher Lee/Cate Blanchett/Benedict Cumberbatch,Peter Jackson,Peter Jackson/Fran Walsh,2014-12-17,The Hobbit: The Battle of the Five Armies,Philippa Boyens/Guillermo del Toro/Peter Jackson/Fran Walsh
2452,Period Drama,100545900,Denzel Washington/Angela Bassett,Spike Lee,Jon Kilik,1992-11-20,Malcolm X,
2453,Drama,34622000,Will Smith/Alec Baldwin/Luke Wilson,Peter Landesman,Ridley Scott,2015-12-25,Concussion,Peter Landesman
2454,Romance,20894700,Jennifer Aniston/Jake Gyllenhaal/Zooey Deschanel/John C. Reilly,Miguel Arteta,,2002-08-07,The Good Girl,Mike White
2455,Action Thriller,91709300,Sandra Bullock/Willem Dafoe,Jan DeBont,Mark Gordon,1997-06-13,Speed 2: Cruise Control,Jeff Nathanson
2456,Romantic Comedy,34869700,Jay Baruchel/Alice Eve/Mike Vogel,Jim Field Smith,George Gatins,2010-03-12,She's Out of My League,Sean Anders
2457,Romantic Comedy,324564900,Cameron Diaz/Matt Dillon/Ben Stiller,The Farrelly Bros.,Bradley Thomas/Charles B. Wessler,1998-07-15,There's Something About Mary,
2458,Drama / Thriller,2256900,Cate Blanchett,Joel Schumacher,Jerry Bruckheimer,2003-10-17,Veronica Guerin,
2459,Family Adventure,32239000,Emma Roberts/Max Thieriot,Andrew Fleming,Mark Vahradian,2007-06-15,Nancy Drew,
2460,Drama / Thriller,40200,Viola Davis/Jennifer Lopez,Charles Stone III,,2015-07-17,Lila & Eve,
2461,Comedy,101663500,Mike Myers/Seth Green,Jay Roach,,1997-05-02,Austin Powers: International Man of Mystery,
2462,Comedy,13904200,Kate Beckinsale/Chloe Sevigny,Whit Stillman,,2016-05-13,Love & Friendship,Whit Stillman
2463,War Romance,157561600,Daniel Day-Lewis,Michael Mann,Hunt Lowry/Michael Mann/James G. Robinson*,1992-09-25,The Last of the Mohicans,Michael Mann
2464,Crime,14743400,Jessica Alba/Josh Brolin/Rosario Dawson/Joseph Gordon-Levitt/Eva Green/Mickey Rourke/Bruce Willis,Frank Miller/Robert Rodriguez,Frank Miller/Robert Rodriguez,2014-08-22,Frank Miller's Sin City: A Dame to Kill For,Frank Miller
2465,War,134295400,Russell Crowe/Paul Bettany,Peter Weir,,2003-11-14,Master and Commander: The Far Side of the World,John Collee
2466,Animation,6364800,,Hayao Miyazaki,John Lasseter,2005-06-10,Howl's Moving Castle,
2467,Comedy,32474400,Billy Bob Thornton/Susan Sarandon,Craig Gillespie,,2007-09-14,Mr. Woodcock,
2468,Thriller,1249500,Jude Law,Kevin Macdonald,,2015-01-23,Black Sea,
2469,Comedy,49590700,Owen Wilson/Jason Sudeikis/Jenna Fischer/Christina Applegate,The Farrelly Bros.,The Farrelly Bros./Bradley Thomas/Charles B. Wessler,2011-02-25,Hall Pass,The Farrelly Bros.
2470,Action Drama,260414700,Ian Holm/Dennis Quaid/Jake Gyllenhaal/Emmy Rossum,Roland Emmerich,Mark Gordon,2004-05-28,The Day After Tomorrow,
2471,Thriller,66876200,Colin Farrell/Kiefer Sutherland/Radha Mitchell/Katie Holmes,Joel Schumacher,David Zucker,2003-04-04,Phone Booth,
2472,Period Drama,46200,John Cusack/Jeffrey Dean Morgan,Mikael Hafstrom,Barry Mendel,2015-10-02,Shanghai,Hossein Amini
2473,Horror,26227200,Katie Holmes/Guy Pearce,Troy Nixey,Guillermo del Toro/Mark Johnson/Stephen Jones/Tom Williams,2011-08-26,Don't Be Afraid of the Dark,Guillermo del Toro
2474,Fantasy,471708000,Elijah Wood/Ian McKellen/Viggo Mortensen/Cate Blanchett/Liv Tyler/Ian Holm/Christopher Lee/Sean Bean/Orlando Bloom/Hugo Weaving,Peter Jackson,Peter Jackson/Fran Walsh,2001-12-19,The Lord of the Rings: The Fellowship of the Ring,Philippa Boyens/Fran Walsh/Fran Walsh
2475,Horror,41984400,Jada Pinkett-Smith/Thomas Haden Church,Ernest R. Dickerson,Gilbert Adler/David Giler*/Walter Hill*/Joel Silver,1995-01-13,Demon Knight,
2476,Foreign,12800,Roberto Benigni,Roberto Benigni,,2006-12-29,The Tiger and the Snow,
2477,Comedy,58900,Rob Lowe,Adam Rifkin,,1991-07-26,The Dark Backward,Adam Rifkin
2478,Thriller,113342200,Morgan Freeman/Billy Burke,Lee Tamahori,,2001-04-06,Along Came a Spider,Marc Moss
2479,Thriller,49109000,Anthony Hopkins/Ryan Gosling/Rosamund Pike/Billy Burke/Zoe Kazan,Gregory Hoblit,,2007-04-20,Fracture,
2480,Romantic Comedy,25289400,Luke Bracey/Selena Gomez/Katie Cassidy/Leighton Meester,Thomas Bezucha,Denise Di Novi/Alison Greenspan/Nicole Kidman/Arnon Milchan,2011-07-01,Monte Carlo,Thomas Bezucha/April Blair/Maria Maggenti
2481,Comedy,48045900,Matt Damon/Greg Kinnear/Eva Mendes/Cher,The Farrelly Bros.,Bradley Thomas/Charles B. Wessler,2003-12-12,Stuck on You,
2482,Sci-Fi Action,34922900,Charlize Theron/Frances McDormand/Sophie Okonedo,Karyn Kusama,Gale Anne Hurd/Gary Lucchesi/Tom Rosenberg,2005-12-02,Aeon Flux,Phil Hay/Matt Manfredi
2483,Sci-Fi Action,223482000,Andy Serkis/Gary Oldman/Kodi Smit-McPhee,Matt Reeves,Mark Bomback/Peter Chernin/Dylan Clark/Thomas M. Hammel/Rick Jaffa/Amanda Silver,2014-07-11,Dawn of the Planet of the Apes,Mark Bomback/Rick Jaffa/Amanda Silver
2484,Romantic Comedy,85537000,Nicole Kidman/Will Ferrell/Michael Caine/Jason Schwartzman,Nora Ephron,Bobby Cohen/Nora Ephron/Lucy Fisher/Penny Marshall/Douglas Wick,2005-06-24,Bewitched,Nora Ephron/Delia Ephron/Adam McKay
2485,Foreign / Action,16783600,Monica Bellucci,Christophe Gans,Samuel Hadida,2002-01-11,Brotherhood of the Wolf,
2486,War,182085500,Mel Gibson/Heath Ledger/Chris Cooper,Roland Emmerich,Dean Devlin/Mark Gordon,2000-06-28,The Patriot,
2487,Horror,64724000,Kate Hudson/Peter Sarsgaard/Gena Rowlands,Iain Softley,Michael Shamberg/Stacey Sher/Clayton Townsend,2005-08-12,The Skeleton Key,Ehren Kruger
2488,Comedy,2505300,Ben Kingsley/Olivia Thirlby/Famke Janssen/Mary-Kate Olsen,Jonathan Levine,Keith Calder,2008-07-03,The Wackness,Jonathan Levine
