,Genre,Gross,actors,directors,producers,rel_date,title,writers
511,Crime Drama,5315000,Forest Whitaker,Jim Jarmusch,Jim Jarmusch,2000-03-03,Ghost Dog: Way of the Samurai,Jim Jarmusch
512,Crime Drama,95977800,Robert DeNiro,Martin Scorsese,Irwin Winkler,1990-09-19,Goodfellas,
513,Romantic Comedy,143223000,Julia Roberts/Billy Crystal/Catherine Zeta-Jones/John Cusack/Stanley Tucci/Christopher Walken,Joe Roth,,2001-07-20,America's Sweethearts,Peter Tolan
514,Comedy,257354300,Jim Carrey,The Farrelly Bros.,Bradley Thomas/Charles B. Wessler,1994-12-16,Dumb and Dumber,
515,Thriller,36410300,Anthony Hopkins/Rutger Hauer,Mikael Hafstrom,Beau Flynn/Tripp Vinson,2011-01-28,The Rite,
516,Drama,17815800,Ashton Kutcher/Josh Gad/Lukas Haas,Joshua Michael Stern,,2013-08-16,Jobs,Matt Whiteley
517,Action,177205800,Tom Cruise/Philip Seymour Hoffman/Billy Crudup/Michelle Monaghan/Jonathan Rhys Meyers/Simon Pegg/Laurence Fishburne,J.J. Abrams,Tom Cruise/Paula Wagner,2006-05-05,Mission: Impossible III,J.J. Abrams/Alex Kurtzman/Roberto Orci
518,Period Drama,39721100,Kate Winslet/Ralph Fiennes,Stephen Daldry,Jason Blum,2008-12-10,The Reader,David Hare
519,Sci-Fi Action,70583100,Dane DeHaan/Michael B. Jordan/Alex Russell,Josh Trank,John Davis,2012-02-03,Chronicle,Max Landis/Josh Trank
520,Action Comedy,199062900,Martin Lawrence/Will Smith,Michael Bay,Jerry Bruckheimer,2003-07-18,Bad Boys II,
521,Animation,224306800,Will Smith/Angelina Jolie/Renee Zellweger/Jack Black/Robert DeNiro,Rob Letterman,Janet Healy/Jeffrey Katzenberg/Allison Lyon Segan,2004-10-01,Shark Tale,Rob Letterman
522,Drama,12259300,Bradley Cooper/Jeremy Irons/Dennis Quaid/Olivia Wilde/Zoe Saldana,Brian Klugman/Lee Sternthal,Bradley Cooper,2012-09-07,The Words,Brian Klugman/Lee Sternthal
523,Period Horror,11181800,Julia Roberts/John Malkovich/Glenn Close/Michael Sheen,Stephen Frears,,1996-02-23,Mary Reilly,Christopher Hampton
524,Sci-Fi Thriller,72317100,James Caviezel/Dennis Quaid,Gregory Hoblit,,2000-04-28,Frequency,
525,Drama,128264000,"Forest Whitaker/John Cusack/Cuba Gooding, Jr./Terrence Howard/Lenny Kravitz/James Marsden/David Oyelowo/Alan Rickman/Liev Schreiber/Robin Williams",Lee Daniels,Lee Daniels/Danny Strong/Laura Ziskin,2013-08-16,Lee Daniels' The Butler,Danny Strong
526,Animation,230257900,Reese Witherspoon/Seth Rogen/Hugh Laurie/Kiefer Sutherland,Rob Letterman/Conrad Vernon,Lisa Stewart,2009-03-27,Monsters Vs. Aliens,Jonathan Aibel/Glenn Berger/Rob Letterman
527,Horror,57994700,Justin Long,Victor Salva,,2001-08-31,Jeepers Creepers,
528,Horror,72198500,Liev Schreiber/Julia Stiles,John Moore,Glenn Williamson,2006-06-06,The Omen,David Seltzer
529,Drama,19925500,Julianne Moore/Alec Baldwin/Kristen Stewart/Kate Bosworth,Richard Glatzer/Wash Westmoreland,,2015-01-16,Still Alice,Richard Glatzer/Wash Westmoreland
530,Comedy,7230200,Woody Allen/Tea Leoni,Woody Allen,,2002-05-03,Hollywood Ending,Woody Allen
531,Romantic Comedy,61508300,Owen Wilson/Rachel McAdams/Marion Cotillard/Michael Sheen/Kathy Bates/Tom Hiddleston,Woody Allen,,2011-05-20,Midnight in Paris,Woody Allen
532,Thriller,35935600,Kevin Costner/Demi Moore/William Hurt,Bruce A. Evans,Kevin Costner/Raynold Gideon/Jim Wilson,2007-06-01,Mr. Brooks,Bruce A. Evans/Raynold Gideon
533,Action Comedy,82536700,Adam Sandler/Kevin James/Josh Gad/Michelle Monaghan/Brian Cox,Chris Columbus,Chris Columbus/Jack Giarraputo/Seth Gordon/Tim Herlihy/Heather Parry/Adam Sandler,2015-07-24,Pixels,Timothy Dowling/Tim Herlihy
